community	medium	receiver	donor	compound	scs	mus	mps	smetana
all	minimal	updated_csc009	updated_csc031	M_arg__L_e	0.3333333333333333	0.08	1	0.026666666666666665
all	minimal	updated_csc009	updated_csc031	M_gua_e	0.3333333333333333	0.1	1	0.03333333333333333
all	minimal	updated_csc009	updated_csc031	M_h2s_e	0.3333333333333333	0.33	1	0.11
all	minimal	updated_csc009	updated_csc031	M_hom__L_e	0.3333333333333333	0.07	1	0.023333333333333334
all	minimal	updated_csc009	updated_csc031	M_nh4_e	0.3333333333333333	0.09	1	0.03
all	minimal	updated_csc009	updated_csc031	M_orn_e	0.3333333333333333	0.03	1	0.009999999999999998
all	minimal	updated_csc009	updated_csc040	M_4abut_e	1.0	0.01	1	0.01
all	minimal	updated_csc009	updated_csc040	M_arg__L_e	1.0	0.08	1	0.08
all	minimal	updated_csc009	updated_csc040	M_asp__L_e	1.0	0.06	1	0.06
all	minimal	updated_csc009	updated_csc040	M_fe3_e	1.0	0.39	1	0.39
all	minimal	updated_csc009	updated_csc040	M_fe3pyovd_kt_e	1.0	0.61	1	0.61
all	minimal	updated_csc009	updated_csc040	M_glu__L_e	1.0	0.06	1	0.06
all	minimal	updated_csc009	updated_csc040	M_gua_e	1.0	0.1	1	0.1
all	minimal	updated_csc009	updated_csc040	M_h2s_e	1.0	0.33	1	0.33
all	minimal	updated_csc009	updated_csc040	M_hom__L_e	1.0	0.07	1	0.07
all	minimal	updated_csc009	updated_csc040	M_nh4_e	1.0	0.09	1	0.09
all	minimal	updated_csc009	updated_csc040	M_orn_e	1.0	0.03	1	0.03
all	minimal	updated_csc009	updated_csc040	M_pi_e	1.0	0.49	1	0.49
all	minimal	updated_csc009	updated_csc040	M_pydxn_e	1.0	0.02	1	0.02
all	minimal	updated_csc009	updated_csc040	M_s_e	1.0	0.33	1	0.33
all	minimal	updated_csc009	updated_csc040	M_ser__L_e	1.0	0.12	1	0.12
all	minimal	updated_csc009	updated_csc040	M_urea_e	1.0	0.07	1	0.07
all	minimal	updated_csc009	updated_csc052	M_arg__L_e	0.3333333333333333	0.08	1	0.026666666666666665
all	minimal	updated_csc009	updated_csc052	M_fe3_e	0.3333333333333333	0.39	1	0.13
all	minimal	updated_csc009	updated_csc052	M_glu__L_e	0.3333333333333333	0.06	1	0.019999999999999997
all	minimal	updated_csc009	updated_csc052	M_gthrd_e	0.3333333333333333	0.04	1	0.013333333333333332
all	minimal	updated_csc009	updated_csc052	M_h2s_e	0.3333333333333333	0.33	1	0.11
