community	medium	receiver	donor	compound	scs	mus	mps	smetana
all	minimal	updated_csc009	updated_csc052	M_nh4_e	0.3333333333333333	0.09	1	0.03
all	minimal	updated_csc009	updated_csc052	M_orn_e	0.3333333333333333	0.03	1	0.009999999999999998
all	minimal	updated_csc009	updated_csc052	M_ptrc_e	0.3333333333333333	0.01	1	0.003333333333333333
all	minimal	updated_csc009	updated_csc052	M_s_e	0.3333333333333333	0.33	1	0.11
all	minimal	updated_csc009	updated_csc052	M_urea_e	0.3333333333333333	0.07	1	0.023333333333333334
all	minimal	updated_csc009	csc043	M_arg__L_e	1.0	0.08	1	0.08
all	minimal	updated_csc009	csc043	M_gua_e	1.0	0.1	1	0.1
all	minimal	updated_csc009	csc043	M_h2s_e	1.0	0.33	1	0.33
all	minimal	updated_csc009	csc043	M_nh4_e	1.0	0.09	1	0.09
all	minimal	updated_csc009	csc043	M_s_e	1.0	0.33	1	0.33
all	minimal	updated_csc009	csc043	M_xylan4_e	1.0	1.0	1	1.0
all	minimal	updated_csc031	updated_csc009	M_fe3_e	1.0	1.0	1	1.0
all	minimal	updated_csc031	updated_csc009	M_fe3pyovd_kt_e	1.0	0.89	1	0.89
all	minimal	updated_csc031	updated_csc009	M_glyald_e	1.0	0.48	1	0.48
all	minimal	updated_csc031	updated_csc009	M_glyc_e	1.0	0.06	1	0.06
all	minimal	updated_csc031	updated_csc009	M_rib__D_e	1.0	0.02	1	0.02
all	minimal	updated_csc031	updated_csc040	M_fe3_e	1.0	1.0	1	1.0
all	minimal	updated_csc031	updated_csc040	M_fe3pyovd_kt_e	1.0	0.89	1	0.89
all	minimal	updated_csc031	updated_csc040	M_glyc_e	1.0	0.06	1	0.06
all	minimal	updated_csc031	updated_csc040	M_pi_e	1.0	1.0	1	1.0
all	minimal	updated_csc031	updated_csc052	M_fe3_e	0.5	1.0	1	0.5
all	minimal	updated_csc031	updated_csc052	M_glyald_e	0.5	0.48	1	0.24
all	minimal	updated_csc031	updated_csc052	M_glyc_e	0.5	0.06	1	0.03
all	minimal	updated_csc031	updated_csc052	M_rib__D_e	0.5	0.02	1	0.01
all	minimal	updated_csc031	csc043	M_glyald_e	1.0	0.48	1	0.48
all	minimal	updated_csc031	csc043	M_glyc_e	1.0	0.06	1	0.06
all	minimal	updated_csc031	csc043	M_rib__D_e	1.0	0.02	1	0.02
all	minimal	updated_csc031	csc043	M_xylan4_e	1.0	0.44	1	0.44
all	minimal	updated_csc040	updated_csc009	M_arg__L_e	1.0	0.06	1	0.06
all	minimal	updated_csc040	updated_csc009	M_fe3_e	1.0	0.15	1	0.15
all	minimal	updated_csc040	updated_csc009	M_fe3pyovd_kt_e	1.0	0.79	1	0.79
all	minimal	updated_csc040	updated_csc009	M_hom__L_e	1.0	0.04	1	0.04
all	minimal	updated_csc040	updated_csc009	M_lys__L_e	1.0	0.16	1	0.16
all	minimal	updated_csc040	updated_csc009	M_nh4_e	1.0	0.05	1	0.05
all	minimal	updated_csc040	updated_csc009	M_o2_e	1.0	0.93	1	0.93
all	minimal	updated_csc040	updated_csc009	M_orn_e	1.0	0.18	1	0.18
all	minimal	updated_csc040	updated_csc031	M_arg__L_e	0.3333333333333333	0.06	1	0.019999999999999997
all	minimal	updated_csc040	updated_csc031	M_gua_e	0.3333333333333333	0.19	1	0.06333333333333332
all	minimal	updated_csc040	updated_csc031	M_hom__L_e	0.3333333333333333	0.04	1	0.013333333333333332
all	minimal	updated_csc040	updated_csc031	M_lys__L_e	0.3333333333333333	0.16	1	0.05333333333333333
all	minimal	updated_csc040	updated_csc031	M_nh4_e	0.3333333333333333	0.05	1	0.016666666666666666
all	minimal	updated_csc040	updated_csc031	M_orn_e	0.3333333333333333	0.18	1	0.06
all	minimal	updated_csc040	updated_csc052	M_arg__L_e	0.3333333333333333	0.06	1	0.019999999999999997
all	minimal	updated_csc040	updated_csc052	M_fe3_e	0.3333333333333333	0.15	1	0.049999999999999996
all	minimal	updated_csc040	updated_csc052	M_lys__L_e	0.3333333333333333	0.16	1	0.05333333333333333
all	minimal	updated_csc040	updated_csc052	M_nh4_e	0.3333333333333333	0.05	1	0.016666666666666666
all	minimal	updated_csc040	updated_csc052	M_orn_e	0.3333333333333333	0.18	1	0.06
all	minimal	updated_csc040	csc043	M_arg__L_e	1.0	0.06	1	0.06
all	minimal	updated_csc040	csc043	M_gua_e	1.0	0.19	1	0.19
all	minimal	updated_csc040	csc043	M_lys__L_e	1.0	0.16	1	0.16
all	minimal	updated_csc040	csc043	M_nh4_e	1.0	0.05	1	0.05
all	minimal	updated_csc040	csc043	M_ura_e	1.0	0.07	1	0.07
all	minimal	updated_csc052	updated_csc009	M_glyc_e	1.0	0.1	1	0.1
all	minimal	updated_csc052	updated_csc009	M_h2s_e	1.0	0.43	1	0.43
all	minimal	updated_csc052	updated_csc009	M_o2_e	1.0	1.0	1	1.0
all	minimal	updated_csc052	updated_csc031	M_glyc_e	0.5	0.1	1	0.05
all	minimal	updated_csc052	updated_csc031	M_h2s_e	0.5	0.43	1	0.215
all	minimal	updated_csc052	updated_csc031	M_xyl__D_e	0.5	0.36	1	0.18
all	minimal	updated_csc052	updated_csc040	M_glyc_e	1.0	0.1	1	0.1
all	minimal	updated_csc052	updated_csc040	M_h2s_e	1.0	0.43	1	0.43
all	minimal	updated_csc052	updated_csc040	M_pi_e	1.0	0.05	1	0.05
all	minimal	updated_csc052	updated_csc040	M_s_e	1.0	0.31	1	0.31
all	minimal	updated_csc052	csc043	M_glyc_e	1.0	0.1	1	0.1
all	minimal	updated_csc052	csc043	M_h2s_e	1.0	0.43	1	0.43
all	minimal	updated_csc052	csc043	M_s_e	1.0	0.31	1	0.31
all	minimal	updated_csc052	csc043	M_xylan4_e	1.0	0.54	1	0.54
all	minimal	csc043	updated_csc009	M_arg__L_e	1.0	0.22	1	0.22
all	minimal	csc043	updated_csc009	M_h2s_e	1.0	0.78	1	0.78
all	minimal	csc043	updated_csc009	M_lys__L_e	1.0	0.46	1	0.46
all	minimal	csc043	updated_csc009	M_o2_e	1.0	1.0	1	1.0
all	minimal	csc043	updated_csc009	M_ppap_e	1.0	1.0	1	1.0
all	minimal	csc043	updated_csc031	M_arg__L_e	0.3333333333333333	0.22	1	0.07333333333333333
all	minimal	csc043	updated_csc031	M_h2s_e	0.3333333333333333	0.78	1	0.26
all	minimal	csc043	updated_csc031	M_lys__L_e	0.3333333333333333	0.46	1	0.15333333333333332
all	minimal	csc043	updated_csc040	M_arg__L_e	1.0	0.22	1	0.22
all	minimal	csc043	updated_csc040	M_h2s_e	1.0	0.78	1	0.78
all	minimal	csc043	updated_csc040	M_lys__L_e	1.0	0.46	1	0.46
all	minimal	csc043	updated_csc040	M_s_e	1.0	0.22	1	0.22
all	minimal	csc043	updated_csc052	M_arg__L_e	0.3333333333333333	0.22	1	0.07333333333333333
all	minimal	csc043	updated_csc052	M_h2s_e	0.3333333333333333	0.78	1	0.26
all	minimal	csc043	updated_csc052	M_lys__L_e	0.3333333333333333	0.46	1	0.15333333333333332
all	minimal	csc043	updated_csc052	M_s_e	0.3333333333333333	0.22	1	0.07333333333333333
