BioCycID	Metabolites	B_thuringiensis_70323_A	B_thuringiensis_70323_B	B_thuringiensis_70323_C	B_thuringiensis_70323_D	B_toyonensis_70323_A	B_toyonensis_70323_B	B_toyonensis_70323_C	B_toyonensis_70323_D	B4UZN_Ctrl_70323_A	B4UZN_Ctrl_70323_B	B4UZN_Ctrl_70323_C	B4UZN_Ctrl_70323_D	B4UZN_Ctrl_70323_E	C_flaccumfaciens_70323_A	C_flaccumfaciens_70323_B	C_flaccumfaciens_70323_C	C_flaccumfaciens_70323_D	Microbacterium_70323_A	Microbacterium_70323_B	Microbacterium_70323_C	Microbacterium_70323_D_and_E	R_qingshengii_70323_A	R_qingshengii_70323_C	R_qingshengii_70323_D	Shared_metab_70323_A	Shared_metab_70323_B	Shared_metab_70323_C	Shared_metab_70323_D	Shared_metab_70323_E
ACETYL-GLU	N-Acetylglutamic acid_HILNeg	22.73732601	23.99287199	22.51352262	23.39672746	23.08367674	23.23293941	22.4579631	21.91035525	24.58368204	24.61139449	24.58374978	24.57310059	24.47201861	23.81919282	22.97156766	22.97673526	23.80266702	23.11226624	24.15629531	22.49181518	23.50583896	23.1203597	22.63989589	22.7483329	23.01027379	24.0219312	22.94147429	23.46295486	24.05653111
 CPD-10229	N-Acetylglutamic acid_HILNeg	22.73732601	23.99287199	22.51352262	23.39672746	23.08367674	23.23293941	22.4579631	21.91035525	24.58368204	24.61139449	24.58374978	24.57310059	24.47201861	23.81919282	22.97156766	22.97673526	23.80266702	23.11226624	24.15629531	22.49181518	23.50583896	23.1203597	22.63989589	22.7483329	23.01027379	24.0219312	22.94147429	23.46295486	24.05653111
CPD-433	N-Acetylleucine_HILNeg	26.57285722	26.39850856	26.5991274	25.3293079	26.29429844	27.15101977	26.58119666	26.70547624	26.46192759	26.42164898	25.56371766	25.62169222	25.94944729	27.04163779	27.28706783	26.76122015	26.79077225	26.74758838	26.97555557	26.87291068	25.88207453	26.30132814	26.56288488	26.38055057	26.66836142	26.32481689	26.64554697	26.63932111	26.82701606
 CPD-20277	N-Acetylleucine_HILNeg	26.57285722	26.39850856	26.5991274	25.3293079	26.29429844	27.15101977	26.58119666	26.70547624	26.46192759	26.42164898	25.56371766	25.62169222	25.94944729	27.04163779	27.28706783	26.76122015	26.79077225	26.74758838	26.97555557	26.87291068	25.88207453	26.30132814	26.56288488	26.38055057	26.66836142	26.32481689	26.64554697	26.63932111	26.82701606
N-ACETYL-TRYPTOPHAN	N-Acetyltryptophan_HILNeg	26.96449019	25.7124506	25.47929973	27.77518018	27.12314422	26.76790099	25.59753076	27.05791381	24.33195403	23.98784172	24.14370199	23.89253225	23.6082828	26.77108603	26.87967647	26.31118864	27.0846425	27.11348427	25.9672804	26.48089974	27.13804266	26.42941538	26.64352505	27.21143742	25.88389821	26.38445128	26.77261216	28.13326945	26.46036327
 CPD-26222	N-Acetyltryptophan_HILNeg	26.96449019	25.7124506	25.47929973	27.77518018	27.12314422	26.76790099	25.59753076	27.05791381	24.33195403	23.98784172	24.14370199	23.89253225	23.6082828	26.77108603	26.87967647	26.31118864	27.0846425	27.11348427	25.9672804	26.48089974	27.13804266	26.42941538	26.64352505	27.21143742	25.88389821	26.38445128	26.77261216	28.13326945	26.46036327
25-DIAMINOPENTANOATE	Ornithine_HILNeg	26.43926069	26.32458814	26.59525736	26.38242692	26.44903996	26.36115444	26.67990099	26.58007053	25.31672867	25.15887626	24.95784426	25.12009177	25.38018909	26.65775926	26.73358293	25.99030824	26.59629577	26.34908432	26.58904494	26.41060877	26.29322645	26.24215736	26.50495073	26.31760494	26.44730129	26.30654528	26.41310272	26.44631426	26.48963992
 CPD0-1941	Ornithine_HILNeg	26.43926069	26.32458814	26.59525736	26.38242692	26.44903996	26.36115444	26.67990099	26.58007053	25.31672867	25.15887626	24.95784426	25.12009177	25.38018909	26.65775926	26.73358293	25.99030824	26.59629577	26.34908432	26.58904494	26.41060877	26.29322645	26.24215736	26.50495073	26.31760494	26.44730129	26.30654528	26.41310272	26.44631426	26.48963992
PANTOTHENATE	Pantothenic acid_HILNeg	23.23866878	23.30661597	22.29497759	20.75765265	22.98453745	24.34364772	22.09911592	23.69149106	20.01513181	21.68008823		22.15296458	22.38288092	24.38229434	22.24701425	21.23667565	22.66952928	21.01333668	22.2313076	24.14254023	12.02011425	24.78734064	22.26155723	24.44816757	22.93283238	24.45980908	22.61912325		24.19430728
 CPD-22851	Pantothenic acid_HILNeg	23.23866878	23.30661597	22.29497759	20.75765265	22.98453745	24.34364772	22.09911592	23.69149106	20.01513181	21.68008823		22.15296458	22.38288092	24.38229434	22.24701425	21.23667565	22.66952928	21.01333668	22.2313076	24.14254023	12.02011425	24.78734064	22.26155723	24.44816757	22.93283238	24.45980908	22.61912325		24.19430728
PROCLAVAMINATE	Pro-Ser_HILNeg	21.04582759	20.84096892	20.81064288	20.83138545	21.01877856	21.78236982	21.02495416	21.1290187	23.8152818	23.54313421	23.55389779	23.74401435	23.99973306	20.04492617	19.92816924	19.57629359	20.51967295	20.25587226	20.05501184	20.2250368	20.15006494	20.21353871	20.63536548	20.0783882	20.84861192	20.32936322	20.45028542	20.6828979	20.34917079
