BioCycID	Metabolites	B_thuringiensis_70323_A	B_thuringiensis_70323_B	B_thuringiensis_70323_C	B_thuringiensis_70323_D	B_toyonensis_70323_A	B_toyonensis_70323_B	B_toyonensis_70323_C	B_toyonensis_70323_D	B4UZN_Ctrl_70323_A	B4UZN_Ctrl_70323_B	B4UZN_Ctrl_70323_C	B4UZN_Ctrl_70323_D	B4UZN_Ctrl_70323_E	C_flaccumfaciens_70323_A	C_flaccumfaciens_70323_B	C_flaccumfaciens_70323_C	C_flaccumfaciens_70323_D	Microbacterium_70323_A	Microbacterium_70323_B	Microbacterium_70323_C	Microbacterium_70323_D_and_E	R_qingshengii_70323_A	R_qingshengii_70323_C	R_qingshengii_70323_D	Shared_metab_70323_A	Shared_metab_70323_B	Shared_metab_70323_C	Shared_metab_70323_D	Shared_metab_70323_E
GLT	Glutamic acid_HILNeg	28.54795142	28.79445468	28.7001609	28.98342727	28.53902042	28.76465503	28.73517875	28.43346125	31.05617886	30.62910636	30.63752083	30.91372848	31.0933531	28.3909087	28.28127723	29.13691077	28.41074206	27.72327501	27.59957423	27.3490471	27.70171847	27.97074464	28.13108019	27.98762763	27.79060558	27.65582171	27.76214336	28.14476791	27.75364925
D-GLT	Glutamic acid_HILNeg	28.54795142	28.79445468	28.7001609	28.98342727	28.53902042	28.76465503	28.73517875	28.43346125	31.05617886	30.62910636	30.63752083	30.91372848	31.0933531	28.3909087	28.28127723	29.13691077	28.41074206	27.72327501	27.59957423	27.3490471	27.70171847	27.97074464	28.13108019	27.98762763	27.79060558	27.65582171	27.76214336	28.14476791	27.75364925
 ACETYLSERINE	Glutamic acid_HILNeg	28.54795142	28.79445468	28.7001609	28.98342727	28.53902042	28.76465503	28.73517875	28.43346125	31.05617886	30.62910636	30.63752083	30.91372848	31.0933531	28.3909087	28.28127723	29.13691077	28.41074206	27.72327501	27.59957423	27.3490471	27.70171847	27.97074464	28.13108019	27.98762763	27.79060558	27.65582171	27.76214336	28.14476791	27.75364925
 2-KETO-4-HYDROXY-5-AMINO-VALERATE	Glutamic acid_HILNeg	28.54795142	28.79445468	28.7001609	28.98342727	28.53902042	28.76465503	28.73517875	28.43346125	31.05617886	30.62910636	30.63752083	30.91372848	31.0933531	28.3909087	28.28127723	29.13691077	28.41074206	27.72327501	27.59957423	27.3490471	27.70171847	27.97074464	28.13108019	27.98762763	27.79060558	27.65582171	27.76214336	28.14476791	27.75364925
 L-4-HYDROXYGLUTAMATE_SEMIALDEHYDE	Glutamic acid_HILNeg	28.54795142	28.79445468	28.7001609	28.98342727	28.53902042	28.76465503	28.73517875	28.43346125	31.05617886	30.62910636	30.63752083	30.91372848	31.0933531	28.3909087	28.28127723	29.13691077	28.41074206	27.72327501	27.59957423	27.3490471	27.70171847	27.97074464	28.13108019	27.98762763	27.79060558	27.65582171	27.76214336	28.14476791	27.75364925
GLYCOLLATE	Glycolic acid_HILNeg	23.88839432	23.5658517	23.37268217	23.73157694	23.98006307	23.56678682	23.63634251	23.97482279	24.54060753	24.94937841	24.56030519	24.25803113	24.85672884	23.7265991	23.96926274	23.70604529	23.90338585	23.90075058	23.82550278	23.55517431	23.85619515	24.34572038	24.06328874	24.17035759	23.96842196	23.95710164	24.1663485	24.12492812	23.73114391
 CPD-26309	Glycolic acid_HILNeg	23.88839432	23.5658517	23.37268217	23.73157694	23.98006307	23.56678682	23.63634251	23.97482279	24.54060753	24.94937841	24.56030519	24.25803113	24.85672884	23.7265991	23.96926274	23.70604529	23.90338585	23.90075058	23.82550278	23.55517431	23.85619515	24.34572038	24.06328874	24.17035759	23.96842196	23.95710164	24.1663485	24.12492812	23.73114391
CPD-20357	Ile-Leu_HILNeg	23.59408545	23.29832504	23.04196894	23.35469636	23.82643557	23.59704483	23.23384676	23.25679794	24.31345614	24.44968275	24.59012016	24.85959387	25.07189985	20.86271578	19.96558849	20.07601204	20.33968964	21.21846613	21.06321209	21.24259435	21.13221412	19.95756614	19.76101372	19.2445864	20.15044868	19.7825227	19.83325128	19.79358349	19.75656651
 N-6-AMINOHEXANOYL-6-AMINOHEXANOATE	Ile-Leu_HILNeg	23.59408545	23.29832504	23.04196894	23.35469636	23.82643557	23.59704483	23.23384676	23.25679794	24.31345614	24.44968275	24.59012016	24.85959387	25.07189985	20.86271578	19.96558849	20.07601204	20.33968964	21.21846613	21.06321209	21.24259435	21.13221412	19.95756614	19.76101372	19.2445864	20.15044868	19.7825227	19.83325128	19.79358349	19.75656651
 L-LEUCYL-L-LEUCINE	Ile-Leu_HILNeg	23.59408545	23.29832504	23.04196894	23.35469636	23.82643557	23.59704483	23.23384676	23.25679794	24.31345614	24.44968275	24.59012016	24.85959387	25.07189985	20.86271578	19.96558849	20.07601204	20.33968964	21.21846613	21.06321209	21.24259435	21.13221412	19.95756614	19.76101372	19.2445864	20.15044868	19.7825227	19.83325128	19.79358349	19.75656651
